Configuration,Term,Prefix,Suffix,Lande,Reference,Z,A,proton_number,neutron_number,J,S_qn,L_qn,parity,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,9p,9d,10s,10p,10d,11s,11p,11d,12s,12p,12d,13s,13p,13d,14s,14p,14d,15s,15p,15d,16s,16p,16d,17s,17p,17d,18s,18p,18d,19s,19p,19d,20s,20p,20d,21s,21p,21d,22s,22p,22d,23s,23p,23d,24s,24p,24d,25s,25p,25d,26s,26p,26d,27s,27p,27d,28s,28p,28d,29s,29p,29d,30s,30p,30d,Level (cm-1),Uncertainty (cm-1)
8d,2D,,,,L10714,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600.657,0.007
8d,2D,,,,L10714,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27645.373,0.007
10s,2S,,,,L10714,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28310.617,0.006
10p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29064.18,0.05
10p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29198.09,0.05
9d,2D,,,,L10714,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29316.497,0.007
9d,2D,,,,L10714,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29341.817,0.007
11s,2S,,,,L10714,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29718.909,0.006
11p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30161.07,0.05
11p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30241.6,0.05
10d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30309.962,0.006
10d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30325.605,0.006
12s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30559.504,0.006
12p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30840.98,0.05
12p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30893.16,0.05
11d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30936.325,0.006
11d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30946.643,0.006
13s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31101.539,0.006
13p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31291.72,0.05
13p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31327.46,0.05
12d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31356.506,0.006
12d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31363.655,0.006
14s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31471.465,0.006
14p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31605.95,0.05
14p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31631.49,0.05
13d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31652.0,0.006
