Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""13/2"""""",""="""""""""",""=""""25138.88"""""",""="""""""""",""="""""""""",""=""""1.40"""""",""="""" 100                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""11/2"""""",""="""""""""",""=""""25568.68"""""",""="""""""""",""="""""""""",""=""""1.354"""""",""=""""  96                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""9/2"""""",""="""""""""",""=""""25937.59"""""",""="""""""""",""="""""""""",""=""""1.281"""""",""=""""  94                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""7/2"""""",""="""""""""",""=""""26232.05"""""",""="""""""""",""="""""""""",""=""""1.150"""""",""=""""  94                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""5/2"""""",""="""""""""",""=""""26450.02"""""",""="""""""""",""="""""""""",""=""""0.876"""""",""=""""  95                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 6G*"""""",""=""""3/2"""""",""="""""""""",""=""""26597.64"""""",""="""""""""",""="""""""""",""=""""0.006"""""",""=""""  97                                                  """""",""="""""""""""
"=""3p6.3d9"",""=""""c 2D"""""",""=""""5/2"""""",""="""""""""",""=""""27497.06"""""",""="""""""""",""="""""""""",""=""""1.200"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d9"",""=""""c 2D"""""",""=""""3/2"""""",""="""""""""",""=""""28470.51"""""",""="""""""""",""="""""""""",""=""""0.907"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4F*"""""",""=""""9/2"""""",""="""""""""",""=""""28345.86"""""",""="""""""""",""="""""""""",""=""""1.330"""""",""=""""  82             :    15  3d8.(3F).4p            4F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4F*"""""",""=""""7/2"""""",""="""""""""",""=""""28777.27"""""",""="""""""""",""="""""""""",""=""""1.247"""""",""=""""  80             :    13  3d8.(3F).4p            4F*  """""",""="""""""""""
