Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""3p6.32d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34900.7719"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.34s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34901.4264"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.33d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34907.3326"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.33d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34907.3337"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.35s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34907.9301"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.34d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34913.3194"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.34d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34913.3204"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.36s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34913.8657"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.35d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34918.7968"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.35d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34918.7976"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.37s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34919.2976"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.36d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34923.8203"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.36d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34923.8212"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.38s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34924.2808"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.37d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34928.4396"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.37d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34928.4403"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.39s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34928.8634"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.38d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34932.6961"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.38d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34932.6969"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.40s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34933.0874"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.39d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34936.6273"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.39d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34936.6279"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.41s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34936.9892"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.40d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34940.2653"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.40d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34940.2660"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.42s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34940.6009"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.41d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34943.6386"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.41d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34943.6393"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.43s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34943.9500"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.42d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34946.7726"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.42d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34946.7730"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.44s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34947.0620"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.43d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34949.6886"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.43d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34949.6892"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.45s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""34949.9585"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.44d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34952.4071"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.44d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34952.4077"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.46s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34952.6589"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.45d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""34954.9453"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.45d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34954.9458"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.46d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34957.3187"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.46d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""34957.3193"""""",""=""""]"""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
