Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4p6.9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31821.855"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31822.550"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31917.221"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31969.616"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31969.621"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32113.55"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32118.52"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32227.610"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32228.108"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32294.911"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32433.50"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32437.04"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32665.03"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32667.63"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32838.02"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32840.02"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32970.66"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32972.19"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33074.59"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33075.83"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33157.54"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33158.54"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33224.83"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33225.67"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.19p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33280.13"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
