Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""42131.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""42131.3"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.10s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""42298."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.10p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42379.16"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.10p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42379.16"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""42389."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""42389."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""42510."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42569.1"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42569.1"""""",""="""""""""",""=""""1.0"""""",""="""""""""""
"=""1s2.11d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""42578."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.11d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""42578."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42719.14"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42719.14"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.12d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""42725."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.12d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""42725."""""",""="""""""""",""=""""10"""""",""="""""""""""
"=""1s2.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42832.92"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42832.92"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42923.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
