Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""15s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31735.182"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31833.76"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31852.65"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""14d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31867.682"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""14d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31871.514"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""16s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31929.789"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32004.20"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32018.55"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""15d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32029.909"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""15d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32032.821"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""17s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32077.492"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32135.03"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32146.20"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""16d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32154.979"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""16d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32157.274"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""18s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32192.251"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32237.65"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32246.51"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""17d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32253.449"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""17d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32255.275"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""19s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32283.180"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""19p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32319.63"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32326.77"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""18d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32332.354"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
