Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.6f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""38399.79"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.6g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""38400.900"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.6g"",""=""""2G"""""",""=""""9/2"""""",""=""""["""""",""=""""38400.904"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.6h"",""=""""2H*"""""",""=""""11/2"""""",""=""""["""""",""=""""38401.147"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.6h"",""=""""2H*"""""",""=""""9/2"""""",""=""""["""""",""=""""38401.153"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""38540.18"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""38540.93"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""38968.51"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""39200.93"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""39200.93"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""39208.98"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""39208.98"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""39209.725"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.7h"",""=""""2H*"""""",""=""""9/2,11/2"""""",""=""""["""""",""=""""39209.887"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""39298.35"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""39298.84"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""39574.85"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""39728.70"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""39728.70"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""39734.16"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""39734.16"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""39734.678"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.8h"",""=""""2H*"""""",""=""""9/2,11/2"""""",""=""""["""""",""=""""39734.790"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""39794.479"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""39794.810"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""39983.27"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""40090.31"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""40090.31"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""40094.19"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""40094.19"""""",""="""""""""",""=""""0.02"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40094.581"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.9h"",""=""""2H*"""""",""=""""9/2,11/2"""""",""=""""["""""",""=""""40094.660"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""40136.810"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""40137.043"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""40271.396"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""40348.915"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""40348.918"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10f"",""=""""2F*"""""",""=""""7/2"""""",""=""""["""""",""=""""40351.761"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10f"",""=""""2F*"""""",""=""""5/2"""""",""=""""["""""",""=""""40351.761"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
