Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5p6.25d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31190.17569"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5177"""""""
"=""5p6.25d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31190.35063"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.23f"",""=""""2F*"""""",""=""""7/2"""""",""=""""["""""",""=""""31198.4257"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057,L6284"""""""
"=""5p6.23f"",""=""""2F*"""""",""=""""5/2"""""",""=""""["""""",""=""""31198.4283"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057"""""""
"=""5p6.23g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""31198.89936"""""",""=""""]"""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.24f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31215.42383"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L6284"""""""
"=""5p6.24f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31215.42620"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.24g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""31215.84176"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.25f"",""=""""2F*"""""",""=""""7/2"""""",""=""""["""""",""=""""31230.4208"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057,L6284"""""""
"=""5p6.25f"",""=""""2F*"""""",""=""""5/2"""""",""=""""["""""",""=""""31230.4229"""""",""=""""]"""""",""=""""0.0002"""""",""=""""L7057"""""""
"=""5p6.25g"",""=""""2G"""""",""=""""7/2"""""",""=""""["""""",""=""""31230.79013"""""",""=""""]"""""",""=""""0.00015"""""",""=""""L7057"""""""
