Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5p6.7f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""29147.98188"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.7g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""29163.07206"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.7g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""29163.0731"""""",""="""""""""",""=""""0.0005"""""",""=""""L7057,L5289"""""""
"=""5p6.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""29403.42310"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""29420.824"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""29468.2878"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""29472.93995"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""29668.80336"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.8f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""29678.68970"""""",""="""""""""",""=""""0.0006"""""",""=""""L7057,L6284"""""""
"=""5p6.8f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""29678.74280"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.8g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""29689.13795"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.8g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""29689.1388"""""",""="""""""""",""=""""0.0007"""""",""=""""L7057,L5289"""""""
"=""5p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""29852.43153"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""29864.345"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.11d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""29896.3399"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.11d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""29899.54646"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.13s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30035.78836"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.9f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30042.27515"""""",""="""""""""",""=""""0.0007"""""",""=""""L7057,L6284"""""""
"=""5p6.9f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30042.31405"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.9g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30049.75317"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.9g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""30049.7545"""""",""="""""""""",""=""""0.0012"""""",""=""""L7057,L5289"""""""
"=""5p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30165.66826"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30174.178"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
